"","dim1","dim2","dim3","n0","BG","NAG","AP","LAP","tmmn_lt","ph","pr_lt","soil_moisture_lt","height","Total_Bacteria_AB_g","TotalAB","koppen_clim","Sample"
"47",0.0749296274300367,-0.112812884353707,-0.146547925839208,379,4.64057341990772,5.05116747126352,8.77042422104283,3.63754062447915,0.676666667,530,56.83333333,0.5278016,170,37920000,17.4509892617224,"Continental cold/Tundra","266"
"48",-0.233210606628399,-0.0359423545837452,-0.0307167878241042,377,4.37690721440035,4.30576364228503,7.20341055157639,4.03745166824628,2.401666667,530,56.41666667,0.28301507,174,48813559.3220339,17.7035187076747,"Continental hot summer","033"
"49",0.0715428748282959,-0.1540590651206,0.0303972727908672,375,4.09971538814756,4.19759878785769,6.5365386663327,3.20024073635728,-4.673333333,470,49.73333333,0.32504314,267,1.84e+08,19.030446321008,"Continental cold/Tundra","212"
"50",-0.264284854146545,0.144165661128659,0.0395588281453466,374,6.9497120044916,5.47440542498024,7.42728914668904,2.22299052025971,-3.085,550,84.65,0.39707464,172,218181818.181818,19.2008393060853,"Continental hot summer","056"
"51",0.0103373429522407,-0.105161288751426,-0.366224112624544,366,6.31136739175415,5.57529154609396,8.66860884217329,3.07322753817105,2.401666667,530,56.41666667,0.28301507,174,23245283.0188679,16.9616128315251,"Continental hot summer","032"
"52",-0.0455503409637105,0.0793153969756567,0.189292234626514,365,4.99008368646432,4.61388278225285,6.90732560888716,3.64716378981686,2.483333333,610,123.05,0.3378553,1420,44878048.7804878,17.6194593641456,"Temperate","172"
"53",-0.169370953968795,-0.091077826872126,0.0818720699891598,361,5.65334576662711,3.71216324942125,6.72226508720246,2.83682890766874,0.56,560,56.5,0.56114846,67,73600000,18.1141555972861,"Continental cold/Tundra","005"
"54",-0.205734868814226,-0.0755761095567195,0.100173364142975,359,5.14813591523388,4.47931775883897,5.86133150098588,3.1126555566179,-4.815,500,78.58333333,0.6582162,386,16740740.7407407,16.6333559315267,"Continental cold/Tundra","134"
"55",-0.194438451998763,-0.111393738214258,-0.0167529521612458,357,3.96227663440086,4.05914595576892,5.99768635396326,3.10935049417374,-2.371666667,510,83.13333333,0.35846338,9,23325000,16.9650363475701,"Continental cold/Tundra","133"
"56",0.0809268707753063,0.124986766469899,0.0325402690277371,355,4.72608838543396,4.37730424396851,7.5061664649119,3.18896426615941,5.966666667,510,140.0833333,0.4711978,140,7425000,15.8203633773332,"Temperate","040"
"57",-0.231386205484972,-0.0625299064747602,0.112425563855741,348,5.94322002128837,6.24495667317733,6.74098224193957,0.985772803256656,-2.218333333,470,93.86666667,0.442239,61,16133333.3333333,16.5963981450022,"Continental hot summer","138"
"58",-0.103813350650001,0.0359376854276286,0.14569831567914,348,5.6567831752308,5.54492973528655,7.03764003871569,2.64682720296103,3.291666667,570,104.05,0.24228925,1461,150588235.294118,18.8300597580223,"Temperate","242"
"59",0.342749393480103,0.111260571140931,-0.00778854354321149,333,6.12534225147842,5.10736246464635,8.19755539514416,4.71229651118619,-0.89,570,66.33333333,0.31239426,613,67840000,18.0326625641885,"Continental hot summer","043"
"60",0.179018844113979,-0.0605539995211846,0.149766852800557,333,5.21120088894462,5.45542850019003,7.61430470340506,3.83564249563109,7.61,560,51.8,0.21514477,140,121435897.435897,18.6148970966333,"Temperate","192"
"61",-0.28247916313838,-0.0253159337514897,-0.0681917415358807,326,3.92638672511588,3.30658993728144,5.88906269196109,2.56295384467269,3.78,590,55.78333333,0.23141333,49,58564102.5641026,17.8856324996858,"Continental hot summer","060"
"62",-0.130266571120477,-0.0663475535602179,0.127274398519,326,5.43336734372665,5.16609496995712,7.98015639868656,3.37235472664596,4.69,550,104.75,0.27594584,832,88631578.9473684,18.2999987848828,"Temperate","230"
"63",-0.233782874690578,0.0159083419658792,0.0726932156441445,324,6.28164749164564,4.48413377544215,7.09140341298333,2.15918699429285,-4.583333333,540,63.93333333,0.25602973,1474,39873684.2105263,17.5012271457489,"Continental hot summer","046"
"64",-0.285315503488853,0.0582119624258588,-0.0657694348389046,324,3.95544143563407,5.23304344280157,6.97633026543397,3.49286096799171,3.358333333,560,55.65,0.2757396,81,30295081.9672131,17.2264959790012,"Continental hot summer","072"
